 * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
174.109.65.238 - - [07/Dec/2019 20:58:03] "GET /spectate HTTP/1.1" 200 -
45.40.203.33 - - [07/Dec/2019 22:36:01] "GET / HTTP/1.1" 302 -
45.40.203.33 - - [07/Dec/2019 22:36:01] "GET /robots.txt HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:05] "GET / HTTP/1.1" 302 -
45.40.203.33 - - [07/Dec/2019 22:36:06] "GET /l.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:09] "GET /phpinfo.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:10] "GET /test.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:13] "POST /index.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:14] "POST /bbs.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:17] "POST /forum.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:18] "POST /forums.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:21] "POST /bbs/index.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:22] "POST /forum/index.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:25] "POST /forums/index.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:27] "GET /webdav/ HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:29] "GET /help.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:29] "GET /java.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:33] "GET /test.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:34] "GET /db_cts.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:34] "GET /db_pma.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:37] "GET /logon.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:39] "GET /help-e.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:40] "GET /license.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:43] "GET /log.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:45] "GET /pmd_online.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:45] "GET /x.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:46] "GET /shell.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:46] "GET /htdocs.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:47] "GET /b.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:47] "GET /sane.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:47] "GET /desktop.ini.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:48] "GET /z.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:49] "GET /lala.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:49] "GET /lala-dpr.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:50] "GET /wpc.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:50] "GET /wpo.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:51] "GET /t6nv.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:52] "GET /muhstik.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:53] "GET /text.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:53] "GET /wp-config.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:54] "GET /muhstik.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:54] "GET /muhstik2.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:55] "GET /muhstiks.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:55] "GET /muhstik-dpr.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:56] "GET /lol.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:57] "GET /cmd.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:57] "GET /cmv.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:58] "GET /cmdd.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:58] "GET /knal.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:36:58] "GET /cmd.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:00] "GET /shell.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:01] "GET /appserv.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:01] "GET /scripts/setup.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:02] "GET /phpmyadmin/scripts/setup.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:03] "GET /phpMyAdmin/scripts/setup.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:04] "GET /scripts/db___.init.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:05] "GET /phpmyadmin/scripts/db___.init.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:05] "GET /phpMyAdmin/scripts/db___.init.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:06] "GET /pma/scripts/setup.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:06] "GET /PMA/scripts/setup.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:07] "GET /myadmin/scripts/setup.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:08] "GET /MyAdmin/scripts/setup.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:08] "GET /pma/scripts/db___.init.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:10] "GET /PMA/scripts/db___.init.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:13] "GET /myadmin/scripts/db___.init.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:13] "GET /MyAdmin/scripts/db___.init.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:17] "GET /plugins/weathermap/editor.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:18] "GET /cacti/plugins/weathermap/editor.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:21] "GET /weathermap/editor.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:22] "GET /index.php?s=%2f%69%6e%64%65%78%2f%5c%74%68%69%6e%6b%5c%61%70%70%2f%69%6e%76%6f%6b%65%66%75%6e%63%74%69%6f%6e&function=%63%61%6c%6c%5f%75%73%65%72%5f%66%75%6e%63%5f%61%72%72%61%79&vars[0]=%6d%645&vars[1][]=%48%65%6c%6c%6f%54%68%69%6e%6b%50%48%50 HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:25] "GET /elrekt.php?s=%2f%69%6e%64%65%78%2f%5c%74%68%69%6e%6b%5c%61%70%70%2f%69%6e%76%6f%6b%65%66%75%6e%63%74%69%6f%6e&function=%63%61%6c%6c%5f%75%73%65%72%5f%66%75%6e%63%5f%61%72%72%61%79&vars[0]=%6d%645&vars[1][]=%48%65%6c%6c%6f%54%68%69%6e%6b%50%48%50 HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:25] "GET /App/?content=die(md5(HelloThinkPHP)) HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:29] "GET /index.php?s=/module/action/param1/${@die(md5(HelloThinkPHP))} HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:29] "GET /?a=fetch&content=<php>die(@md5(HelloThinkCMF))</php> HTTP/1.1" 302 -
45.40.203.33 - - [07/Dec/2019 22:37:33] "GET /joomla/ HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:33] "GET /Joomla/ HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:37] "GET /d7.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:38] "GET /rxr.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:41] "GET /1x.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:41] "GET /home.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:45] "GET /spider.php HTTP/1.1" 404 -
45.40.203.33 - - [07/Dec/2019 22:37:45] "GET /payload.php HTTP/1.1" 404 -
